TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2017-2019,Borough,3,1,Manhattan,26.0,39.0,2.0,15.0
2017-2019,Borough,4,1,Queens,31.0,52.0,2.0,10.0
2017-2019,Borough,5,1,Staten Island,9.0,11.0,2.0,10.0
2017-2019,Citywide,1,0,New York City,183.0,297.0,3.0,16.0
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,3.0,2.9,4.0,15.1
2015-2017,UHF42,102,4,Northeast Bronx,10.6,15.6,6.6,33.3
2015-2017,UHF42,103,4,Fordham - Bronx Pk,19.2,28.3,10.0,39.1
2015-2017,UHF42,104,4,Pelham - Throgs Neck,16.5,22.0,7.0,28.7
2015-2017,UHF42,105,4,Crotona -Tremont,15.1,21.2,9.8,32.5
2015-2017,UHF42,106,4,High Bridge - Morrisania,18.8,25.3,12.0,39.4
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,14.6,17.5,14.2,40.7
2015-2017,UHF42,201,4,Greenpoint,1.1,1.5,1.0,4.8
2015-2017,UHF42,202,4,Downtown - Heights - Slope,4.8,6.2,2.3,12.5
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,13.8,26.3,5.4,33.9
2015-2017,UHF42,204,4,East New York,6.8,18.2,5.0,34.4
2015-2017,UHF42,205,4,Sunset Park,3.0,2.1,2.9,6.3
2015-2017,UHF42,206,4,Borough Park,3.9,3.2,1.6,3.0
2015-2017,UHF42,207,4,East Flatbush - Flatbush,9.1,19.0,3.8,27.6
2015-2017,UHF42,208,4,Canarsie - Flatlands,4.7,9.4,2.9,19.8
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,2.3,2.1,1.4,4.7
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,6.4,4.2,2.8,6.7
2015-2017,UHF42,211,4,Williamsburg - Bushwick,7.6,12.0,4.6,20.5
2015-2017,UHF42,301,4,Washington Heights,8.0,10.5,3.6,19.7
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,8.7,14.9,6.1,39.2
2015-2017,UHF42,303,4,East Harlem,8.2,9.2,9.1,36.9
2015-2017,UHF42,304,4,Upper West Side,2.8,2.2,1.5,6.6
2015-2017,UHF42,305,4,Upper East Side,1.4,1.9,0.7,5.6
2015-2017,UHF42,306,4,Chelsea - Clinton,1.6,1.3,1.1,9.4
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,1.2,1.0,1.0,9.0
2015-2017,UHF42,308,4,Greenwich Village - SoHo,0.5,0.1,0.6,1.5
2015-2017,UHF42,309,4,Union Square - Lower East Side,4.8,4.2,2.8,15.5
