TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 30+),"Estimated annual rate (age 30+) per 100,000 adults"
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,40.1,45.2
2012-2014,UHF42,308,4,Greenwich Village - SoHo,18.0,31.7
2012-2014,UHF42,309,4,Union Square - Lower East Side,60.0,47.3
2012-2014,UHF42,310,4,Lower Manhattan,11.0,34.4
2012-2014,UHF42,401,4,Long Island City - Astoria,42.0,31.6
2012-2014,UHF42,402,4,West Queens,79.5,26.3
2012-2014,UHF42,403,4,Flushing - Clearview,66.9,36.5
2012-2014,UHF42,404,4,Bayside - Little Neck,17.4,28.4
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,63.1,39.0
2012-2014,UHF42,406,4,Fresh Meadows,21.3,35.2
2012-2014,UHF42,407,4,Southwest Queens,47.8,29.3
2012-2014,UHF42,408,4,Jamaica,64.7,36.5
2012-2014,UHF42,409,4,Southeast Queens,34.6,27.4
2012-2014,UHF42,410,4,Rockaways,33.1,49.5
2012-2014,UHF42,501,4,Port Richmond,16.1,41.1
2012-2014,UHF42,502,4,Stapleton - St. George,37.5,49.6
2012-2014,UHF42,503,4,Willowbrook,31.7,57.2
2012-2014,UHF42,504,4,South Beach - Tottenville,53.9,44.7
2012-2014,Borough,1,1,Bronx,368.9,47.3
2012-2014,Borough,2,1,Brooklyn,614.0,41.0
2012-2014,Borough,3,1,Manhattan,451.8,44.0
2012-2014,Borough,4,1,Queens,470.5,32.8
2012-2014,Borough,5,1,Staten Island,139.3,47.8
2012-2014,Citywide,1,0,New York City,"2,044.5",40.6
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,45.4,
2009-2011,UHF42,102,4,Northeast Bronx,65.3,
2009-2011,UHF42,103,4,Fordham - Bronx Pk,64.5,
2009-2011,UHF42,104,4,Pelham - Throgs Neck,93.6,
2009-2011,UHF42,105,4,Crotona -Tremont,48.3,
2009-2011,UHF42,106,4,High Bridge - Morrisania,58.8,
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,39.2,
2009-2011,UHF42,201,4,Greenpoint,29.7,
2009-2011,UHF42,202,4,Downtown - Heights - Slope,55.4,
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,98.5,
2009-2011,UHF42,204,4,East New York,44.3,
2009-2011,UHF42,205,4,Sunset Park,27.0,
2009-2011,UHF42,206,4,Borough Park,88.4,
2009-2011,UHF42,207,4,East Flatbush - Flatbush,74.5,
2009-2011,UHF42,208,4,Canarsie - Flatlands,58.2,
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,72.8,
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,120.8,
2009-2011,UHF42,211,4,Williamsburg - Bushwick,52.5,
2009-2011,UHF42,301,4,Washington Heights,66.8,
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,58.1,
2009-2011,UHF42,303,4,East Harlem,43.3,
2009-2011,UHF42,304,4,Upper West Side,72.9,
2009-2011,UHF42,305,4,Upper East Side,67.6,
2009-2011,UHF42,306,4,Chelsea - Clinton,38.6,
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,40.6,
2009-2011,UHF42,308,4,Greenwich Village - SoHo,22.3,
2009-2011,UHF42,309,4,Union Square - Lower East Side,70.6,
2009-2011,UHF42,310,4,Lower Manhattan,11.1,
2009-2011,UHF42,401,4,Long Island City - Astoria,52.8,
2009-2011,UHF42,402,4,West Queens,96.3,
2009-2011,UHF42,403,4,Flushing - Clearview,76.0,
2009-2011,UHF42,404,4,Bayside - Little Neck,20.5,
2009-2011,UHF42,405,4,Ridgewood - Forest Hills,72.8,
2009-2011,UHF42,406,4,Fresh Meadows,25.3,
2009-2011,UHF42,407,4,Southwest Queens,58.1,
2009-2011,UHF42,408,4,Jamaica,72.1,
2009-2011,UHF42,409,4,Southeast Queens,41.8,
2009-2011,UHF42,410,4,Rockaways,45.9,
2009-2011,UHF42,501,4,Port Richmond,18.6,
2009-2011,UHF42,502,4,Stapleton - St. George,39.9,
2009-2011,UHF42,503,4,Willowbrook,31.6,
2009-2011,UHF42,504,4,South Beach - Tottenville,57.5,
2009-2011,Borough,1,1,Bronx,415.0,55.0
2009-2011,Borough,2,1,Brooklyn,722.0,50.1
2009-2011,Borough,3,1,Manhattan,492.0,50.0
2009-2011,Borough,4,1,Queens,561.5,40.5
2009-2011,Borough,5,1,Staten Island,147.7,51.7
2009-2011,Citywide,1,0,New York City,"2,338.2",48.2
2005-2007,UHF42,101,4,Kingsbridge - Riverdale,63.9,
2005-2007,UHF42,102,4,Northeast Bronx,86.7,
2005-2007,UHF42,103,4,Fordham - Bronx Pk,86.3,
2005-2007,UHF42,104,4,Pelham - Throgs Neck,123.9,
